fps_count,is_gookmin100,video_length_seconds,exercise_id,file_size,job_ymd,operation_name,repetition_count_name,resolution,set_count_name,training_week_name,body_part,exercise_tool,fitness_factor_name,fitness_level_name,target_group,training_aim_name,training_place_name,training_section_name,training_sequence_name,training_step_name,image_url,video_url,description,image_file_name,title,training_name,standard_title
29.96,1,91,1,15145209,20221010,,,1920*1080,,,상체,기타,근력/근지구력,초급,유소년,,실내,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00351/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00351.mp4,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00351_SC_00005.jpeg,팔굽혀펴기,팔 굽혀 펴기(매트),푸시업
29.96,1,91,2,15438485,20220916,,,1920*1080,,,상체,맨몸,근력/근지구력,고급,유소년,,실내,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00352/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00352.mp4,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 누워서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00352_FR_00002.jpeg,누워서 뒤로 팔굽혀펴기,누워서 뒤로 팔 굽혀 펴기,푸시업
24,1,99,3,16835752,20220921,,,1920*1080,,,하체,기타,근력/근지구력,초급,유소년,,실내,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00353/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00353.mp4,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 앉아서 엉덩이 들고 이동하기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00353_FR_00003.jpeg,앉아서 엉덩이 들고 이동하기,앉아서 엉덩이 들고 이동하기,앉아서 엉덩이 들고 이동하기
29.97,1,263,4,44409731,20220920,,,960*540,,,상체,기타,근력/근지구력,초급,청소년,,헬스장,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_01005/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_01005.mp4,청소년 근력/근지구력운동 루틴프로그램(웨이트 트레이닝)을 설명한 운동처방 가이드 동영상,0AUDLJ08S_01005_SC_00025.jpeg,근력·근지구력운동 루틴프로그램-1,앉아서 양팔 당기기-1,루틴/프로그램
24,1,84,5,14437122,20221005,,,1920*1080,,,상체,맨몸,근력/근지구력,초급,유소년,,실내,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00354/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00354.mp4,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 엎드려 팔로 걷기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00354_SC_00002.jpeg,엎드려 팔로 걷기,엎드려 팔로 걷기,걷기/달리기
24,1,78,6,13177677,20220921,,,1920*1080,,,상체,기타,근력/근지구력,초급,유소년,,실내,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00355/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00355.mp4,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 아령 앞으로 들어올리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00355_SC_00002.jpeg,아령 앞으로 들어올리기,아령 앞으로 들어올리기,레이즈 (기타)
24,1,107,7,17845262,20220930,,,1920*1080,,,상체,기타,근력/근지구력,중급,유소년,,실내,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00356/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00356.mp4,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 아령 뒤로 들어올리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00356_SC_00002.jpeg,아령 뒤로 들어올리기,아령 뒤로 들어올리기,레이즈 (기타)
24,1,99,8,16774946,20220928,,,1920*1080,,,상체,의자,근력/근지구력,초급,유소년,,실내,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00357/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00357.mp4,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 의자 잡고 팔 뒤로 굽히기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00357_SC_00001.jpeg,의자 잡고 팔 뒤로 굽히기,의자 잡고 팔 뒤로 굽히기,바벨/덤벨 컬
24,1,106,9,18077808,20220929,,,1920*1080,,,상체,탄력밴드,근력/근지구력,초급,유소년,,실내,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00358/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00358.mp4,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 밴드 앞 옆으로 들어올리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00358_FR_00002.jpeg,밴드 앞 옆으로 들어올리기,밴드 앞 옆으로 들어올리기,레이즈 (기타)
24,1,103,10,17281982,20220929,,,1920*1080,,,상체,탄력밴드,근력/근지구력,초급,유소년,,실내,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00359/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00359.mp4,"유소년 근력/근지구력을 위한 팔/어깨운동 중, 밴드 어깨 뒤로 들어올리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00359_FR_00002.jpeg,밴드 어깨 뒤로 들어올리기,밴드 어깨 뒤로 들어올리기,숄더 레이즈
